9657,CCTV Hire Decomissioning,Supply & Install CCTV Hire Decomissioning,7,1.0,471,Preliminaries,1957,35,item,1583,CCTV hire decomissioning
9634,CCTV Hire Installation,Supply & Install CCTV Hire Installation,7,1.0,471,Preliminaries,1957,35,item,1582,CCTV hire installation
9635,CCTV Hire monitoring,Supply & Install CCTV Hire monitoring,7,1.0,471,Preliminaries,1957,33,week,1569,CCTV hire monitoring
10935,Chimney sweep,Supply & Install Chimney sweep,7,1.0,471,Preliminaries,1957,1,nr,,
10714,Considerate Constructors Scheme site registration,Supply & Install Considerate Constructors Scheme site registration,7,1.0,471,Preliminaries,1957,35,item,2142,Considerate Constructors Scheme site registration
10692,Rubbish chute weekly hire,Supply & Install Rubbish chute weekly hire,7,1.0,471,Preliminaries,1957,33,week,2128,Rubbish chute weekly hire
8892,Site set up,Supply & Install Site set up,7,1.0,471,Preliminaries,1957,1,nr,1107,Site set up
10320,Pricing clarifications - Measurement notes,Supply & Install Pricing clarifications - Measurement notes,7,1.0,471,Preliminaries,2053,35,item,1941,Pricing clarifications - Measurement notes
10319,Pricing clarifications - Preliminaries,Supply & Install Pricing clarifications - Preliminaries,7,1.0,471,Preliminaries,2053,35,item,1940,Pricing clarifications - Preliminaries
10806,Pricing clarifications - swimming pool,Supply & Install Pricing clarifications - swimming pool,7,1.0,471,Preliminaries,2053,35,item,2188,Pricing clarifications - swimming pool
9702,Additional works,Supply & Install Additional works,7,1.0,471,Preliminaries,1962,35,item,1606,Unidentified tasks
9548,Allowance for protection to retained door,Supply & Install Allowance for protection to retained door,7,1.0,471,Preliminaries,1962,35,item,1523,Protection to retained door
10382,Allowance for supplying the Client with an Operation and Maintenance Manual of the building / O&M Manual,Supply & Install Allowance for supplying the Client with an Operation and Maintenance Manual of the building / O&M Manual,7,1.0,471,Preliminaries,1962,35,item,1984,O&M Manual
10136,Builders clean per day,Supply & Install Builders clean per day,7,1.0,471,Preliminaries,1962,8,day,,
8951,Contingency,Supply & Install Contingency,7,1.0,471,Preliminaries,1962,35,item,1253,Contingency
9878,Contractor's Preliminaries,Supply & Install Contractor's Preliminaries,7,1.0,471,Preliminaries,1962,35,item,1708,Contractor's Preliminaries
10194,Contractor's Preliminaries per week,Supply & Install Contractor's Preliminaries per week,7,1.0,471,Preliminaries,1962,33,week,1894,Contractor's Preliminaries per week
9156,Fire protection,Supply & Install Fire protection,7,1.0,471,Preliminaries,1962,1,nr,1300,Fire protection
9028,First aid allowance,Supply & Install First aid allowance,7,1.0,471,Preliminaries,1962,35,item,1223,First aid
9023,General prelims allowance items,Supply & Install General prelims allowance items,7,1.0,471,Preliminaries,1962,35,item,730,Prelims
8957,Insurances,Supply & Install Insurances,7,1.0,471,Preliminaries,1962,35,item,1219,Insurances
10005,Negotiated Discount,Supply & Install Negotiated Discount,7,1.0,471,Preliminaries,1962,35,item,1796,Negotiated discount
10065,Out of hours working,Supply & Install Out of hours working,7,1.0,471,Preliminaries,1962,35,item,1834,Out of hours working
8446,Professional cleaning on project completion,Supply & Install Professional cleaning on project completion,7,,471,Preliminaries,1962,35,item,,
8952,Samples,Supply & Install Samples,7,1.0,471,Preliminaries,1962,35,item,1151,Material samples
9556,Temporary works,Supply & Install Temporary works,7,1.0,471,Preliminaries,1962,35,item,1507,Temporary works
9557,Temporary works design,Supply & Install Temporary works design,7,1.0,471,Preliminaries,1962,35,item,1508,Temporary works design
9932,Travel to/from site,Supply & Install Travel to/from site,7,1.0,471,Preliminaries,1962,8,day,,
10171,"Unloading and distribution, materials handling","Supply & Install Unloading and distribution, materials handling",7,1.0,471,Preliminaries,1962,36,hr,,
10146,Disposal of waste via rubble sack,Supply & Install Disposal of waste via rubble sack,7,1.0,471,Preliminaries,1712,7,nr,1864,Rubble sacks
10856,Manual handling of excavated waste,Supply & Install Manual handling of excavated waste,7,1.0,471,Preliminaries,1712,6,m3,,
8529,Muckaway lorry with grab,Supply & Install Muckaway lorry with grab,7,,471,Preliminaries,1712,1,nr,908,Muckaway lorry
8230,Skip,Supply & Install Skip,7,1.0,471,Preliminaries,1712,1,nr,225,Skip
8311,Wait and load truck,Supply & Install Wait and load truck,7,1.0,471,Preliminaries,1712,1,nr,300,Wait and load truck
10776,Main Contractors OH&P on Provisional Sums,Supply & Install Main Contractors OH&P on Provisional Sums,7,1.0,471,Preliminaries,2097,35,item,2178,Main Contractors OH&P on Provisional Sums
8530,Building control,Supply & Install Building control,7,,471,Preliminaries,1876,1,nr,668,Building control
